СПИСОК УЧЕТНЫХ ЗАПИСЕЙ МЧС ПОРТАЛА
====================================
Общий пароль для всех: test123

ЛОГИН | РОЛЬ | РЕГИОН | ФИО
ochs_abay_9 | OCHS | Область Абай | ОЧС города Курчатова
ochs_akmola_10 | OCHS | Акмолинская область | ОЧС Егиндыкольского района
ochs_akmola_11 | OCHS | Акмолинская область | ОЧС Ерейментауского района
ochs_akmola_12 | OCHS | Акмолинская область | ОЧС Есильского района
ochs_akmola_13 | OCHS | Акмолинская область | ОЧС Жаксынского района
ochs_akmola_14 | OCHS | Акмолинская область | ОЧС Зерендинского района
ochs_akmola_15 | OCHS | Акмолинская область | ОЧС Коргалжынского района
ochs_akmola_16 | OCHS | Акмолинская область | ОЧС города Косшы
ochs_akmola_17 | OCHS | Акмолинская область | ОЧС Сандыктауского района
ochs_akmola_19 | OCHS | Акмолинская область | ОЧС Целиноградского района
ochs_akmola_2 | OCHS | Акмолинская область | ОЧС Жаркаинского района
ochs_akmola_20 | OCHS | Акмолинская область | ОЧС Шортандинского района
ochs_akmola_3 | OCHS | Акмолинская область | ОЧС Аккольского района
ochs_akmola_4 | OCHS | Акмолинская область | ОЧС Аршалинского района
ochs_akmola_5 | OCHS | Акмолинская область | ОЧС Астраханского района
ochs_akmola_6 | OCHS | Акмолинская область | ОЧС Атбасарского района
ochs_akmola_7 | OCHS | Акмолинская область | ОЧС района Биржан сал
ochs_akmola_8 | OCHS | Акмолинская область | ОЧС Буландынского района
ochs_akmola_9 | OCHS | Акмолинская область | ОЧС Бурабайского района
ochs_aktobe_10 | OCHS | Актюбинская область | ОЧС Темирского района
ochs_aktobe_11 | OCHS | Актюбинская область | ОЧС Уилского района
ochs_aktobe_12 | OCHS | Актюбинская область | ОЧС Хромтауского района
ochs_aktobe_13 | OCHS | Актюбинская область | ОЧС Шалкарского района
ochs_aktobe_2 | OCHS | Актюбинская область | ОЧС Айтекебийского района
ochs_aktobe_3 | OCHS | Актюбинская область | ОЧС Алгинского района
ochs_aktobe_4 | OCHS | Актюбинская область | ОЧС Байганинского района
ochs_aktobe_5 | OCHS | Актюбинская область | ОЧС Иргизского района
ochs_aktobe_6 | OCHS | Актюбинская область | ОЧС Каргалинского района
ochs_aktobe_7 | OCHS | Актюбинская область | ОЧС Кобдинского района
ochs_aktobe_8 | OCHS | Актюбинская область | ОЧС Мартукского района
ochs_aktobe_9 | OCHS | Актюбинская область | ОЧС Мугалжарского района
ochs_almaty_obl_1 | OCHS | Алматинская область | ОЧС г.Алатау
ochs_almaty_obl_10 | OCHS | Алматинская область | ОЧС Уйгурского района
ochs_almaty_obl_2 | OCHS | Алматинская область | ОЧС Карасайского района
ochs_almaty_obl_3 | OCHS | Алматинская область | ОЧС Талгарского района
ochs_almaty_obl_4 | OCHS | Алматинская область | ОЧС Райымбекского района
ochs_almaty_obl_5 | OCHS | Алматинская область | ОЧС Жамбылского района
ochs_almaty_obl_6 | OCHS | Алматинская область | ОЧС Енбекшиказахского района
ochs_almaty_obl_7 | OCHS | Алматинская область | ОЧС Илийского района
ochs_almaty_obl_8 | OCHS | Алматинская область | ОЧС Кегенского района
ochs_almaty_obl_9 | OCHS | Алматинская область | ОЧС Балхашского района
ochs_atyrau_2 | OCHS | Атырауская область | ОЧС Жылыойского района
ochs_atyrau_3 | OCHS | Атырауская область | ОЧС Индерского района
ochs_atyrau_4 | OCHS | Атырауская область | ОЧС Исатайского района
ochs_atyrau_5 | OCHS | Атырауская область | ОЧС Курмангазинского района
ochs_atyrau_6 | OCHS | Атырауская область | ОЧС Кызылкогинского района
ochs_atyrau_7 | OCHS | Атырауская область | ОЧС Макатского района
ochs_atyrau_8 | OCHS | Атырауская область | ОЧС Махамбетского района
ochs_karaganda_10 | OCHS | Карагандинская область | ОЧС Осакаровского района
ochs_karaganda_11 | OCHS | Карагандинская область | ОЧС Шетского района
ochs_karaganda_12 | OCHS | Карагандинская область | ОЧС города Балхаша
ochs_karaganda_2 | OCHS | Карагандинская область | ОЧС города Приозерска
ochs_karaganda_3 | OCHS | Карагандинская область | ОЧС Абайского района
ochs_karaganda_4 | OCHS | Карагандинская область | ОЧС Актогайского района
ochs_karaganda_5 | OCHS | Карагандинская область | ОЧС Бухар-Жырауского района
ochs_karaganda_6 | OCHS | Карагандинская область | ОЧС города Сарани
ochs_karaganda_7 | OCHS | Карагандинская область | ОЧС города Шахтинска
ochs_karaganda_8 | OCHS | Карагандинская область | ОЧС Каркаралинского района
ochs_karaganda_9 | OCHS | Карагандинская область | ОЧС Нуринского района
ochs_kostanay_10 | OCHS | Костанайская область | ОЧС Камыстинского района
ochs_kostanay_11 | OCHS | Костанайская область | ОЧС Карабалыкского района
ochs_kostanay_12 | OCHS | Костанайская область | ОЧС Карасуского района
ochs_kostanay_13 | OCHS | Костанайская область | ОЧС Костанайского района
ochs_kostanay_14 | OCHS | Костанайская область | ОЧС города Лисаковска
ochs_kostanay_15 | OCHS | Костанайская область | ОЧС района Беимбета Майлина
ochs_kostanay_16 | OCHS | Костанайская область | ОЧС Мендыкаринского района
ochs_kostanay_17 | OCHS | Костанайская область | ОЧС Наурзумского района
ochs_kostanay_19 | OCHS | Костанайская область | ОЧС Сарыкольского района
ochs_kostanay_2 | OCHS | Костанайская область | ОЧС Узункольского района
ochs_kostanay_20 | OCHS | Костанайская область | ОЧС Федоровского района
ochs_kostanay_3 | OCHS | Костанайская область | ОЧС Алтынсаринского района
ochs_kostanay_4 | OCHS | Костанайская область | ОЧС Амангельдинского района
ochs_kostanay_6 | OCHS | Костанайская область | ОЧС Аулиекольского района
ochs_kostanay_7 | OCHS | Костанайская область | ОЧС Денисовского района
ochs_kostanay_8 | OCHS | Костанайская область | ОЧС Жангельдинского района
ochs_kostanay_9 | OCHS | Костанайская область | ОЧС Житикаринского района
ochs_kyzylorda_2 | OCHS | Кызылординская область | ОЧС Аральского района
ochs_kyzylorda_3 | OCHS | Кызылординская область | ОЧС Жалагашского района
ochs_kyzylorda_4 | OCHS | Кызылординская область | ОЧС Жанакорганского района
ochs_kyzylorda_5 | OCHS | Кызылординская область | ОЧС Казалинского района
ochs_kyzylorda_6 | OCHS | Кызылординская область | ОЧС Кармакшинского района
ochs_kyzylorda_7 | OCHS | Кызылординская область | ОЧС Сырдарьинского района
ochs_kyzylorda_8 | OCHS | Кызылординская область | ОЧС Шиелийского района
ochs_mangystau_2 | OCHS | Мангистауская область | ОЧС Бейнеуского района
ochs_mangystau_3 | OCHS | Мангистауская область | ОЧС города Жанаозен
ochs_mangystau_4 | OCHS | Мангистауская область | ОЧС Каракиянского района
ochs_mangystau_5 | OCHS | Мангистауская область | ОЧС Мангистауского района
ochs_mangystau_6 | OCHS | Мангистауская область | ОЧС Мунайлинского района
ochs_mangystau_7 | OCHS | Мангистауская область | ОЧС Тупкараганского района
ochs_pavlodar_10 | OCHS | Павлодарская область | ОЧС района Теренкел
ochs_pavlodar_11 | OCHS | Павлодарская область | ОЧС Успенского района
ochs_pavlodar_12 | OCHS | Павлодарская область | ОЧС Щербактинского района
ochs_pavlodar_2 | OCHS | Павлодарская область | ОЧС Актогайского района
ochs_pavlodar_3 | OCHS | Павлодарская область | ОЧС Баянаульского района
ochs_pavlodar_4 | OCHS | Павлодарская область | ОЧС города Аксу
ochs_pavlodar_5 | OCHS | Павлодарская область | ОЧС Железинского района
ochs_pavlodar_6 | OCHS | Павлодарская область | ОЧС Иртышского района
ochs_pavlodar_7 | OCHS | Павлодарская область | ОЧС Майского района
ochs_pavlodar_8 | OCHS | Павлодарская область | ОЧС Павлодарского района
ochs_pavlodar_9 | OCHS | Павлодарская область | ОЧС района Аккулы
ochs_sko_10 | OCHS | Северо-Казахстанская область | ОЧС Мамлютского района
ochs_sko_11 | OCHS | Северо-Казахстанская область | ОЧС Тайыншинского района
ochs_sko_12 | OCHS | Северо-Казахстанская область | ОЧС Тимирязевского района
ochs_sko_13 | OCHS | Северо-Казахстанская область | ОЧС Уалихановского района
ochs_sko_14 | OCHS | Северо-Казахстанская область | ОЧС района имени Шал акына
ochs_sko_2 | OCHS | Северо-Казахстанская область | ОЧС Айыртауского района
ochs_sko_3 | OCHS | Северо-Казахстанская область | ОЧС Акжарского района
ochs_sko_4 | OCHS | Северо-Казахстанская область | ОЧС Аккайынского района
ochs_sko_5 | OCHS | Северо-Казахстанская область | ОЧС района имени Габита Мусрепова
ochs_sko_6 | OCHS | Северо-Казахстанская область | ОЧС Есильского района
ochs_sko_7 | OCHS | Северо-Казахстанская область | ОЧС Жамбылского района
ochs_sko_8 | OCHS | Северо-Казахстанская область | ОЧС района Магжана Жумабаева
ochs_sko_9 | OCHS | Северо-Казахстанская область | ОЧС Кызылжарского района
ochs_turkestan_10 | OCHS | Туркестанская область | ОЧС Отрарского района
ochs_turkestan_11 | OCHS | Туркестанская область | ОЧС района Сауран
ochs_turkestan_13 | OCHS | Туркестанская область | ОЧС Сарыагашского района
ochs_turkestan_14 | OCHS | Туркестанская область | ОЧС Созакского района
ochs_turkestan_15 | OCHS | Туркестанская область | ОЧС Толебийского района
ochs_turkestan_16 | OCHS | Туркестанская область | ОЧС Тюлькубасского района
ochs_turkestan_17 | OCHS | Туркестанская область | ОЧС Шардаринского района
ochs_turkestan_2 | OCHS | Туркестанская область | ОЧС Арысского района
ochs_turkestan_3 | OCHS | Туркестанская область | ОЧС Байдибекского района
ochs_turkestan_4 | OCHS | Туркестанская область | ОЧС города Кентау
ochs_turkestan_5 | OCHS | Туркестанская область | ОЧС Жетысайского района
ochs_turkestan_6 | OCHS | Туркестанская область | ОЧС Казыгуртского района
ochs_turkestan_7 | OCHS | Туркестанская область | ОЧС Келесского района
ochs_turkestan_8 | OCHS | Туркестанская область | ОЧС Мактааральского района
ochs_turkestan_9 | OCHS | Туркестанская область | ОЧС Ордабасинского района
ochs_ulytau_2 | OCHS | Область Ұлытау | ОЧС города Караджала
ochs_ulytau_3 | OCHS | Область Ұлытау | ОЧС города Саттаева
ochs_ulytau_4 | OCHS | Область Ұлытау | ОЧС Ұлытауского района
ochs_ulytau_5 | OCHS | Область Ұлытау | ОЧС Жанааркинского района
ochs_vko_12 | OCHS | Восточно-Казахстанская область | ОЧС района Маркакел
ochs_vko_13 | OCHS | Восточно-Казахстанская область | ОЧС района Улкен Нарын
ochs_vko_2 | OCHS | Восточно-Казахстанская область | ОЧС Глубоковского района
ochs_vko_3 | OCHS | Восточно-Казахстанская область | ОЧС Зайсанского района
ochs_vko_4 | OCHS | Восточно-Казахстанская область | ОЧС Катон-Карагайского района
ochs_vko_5 | OCHS | Восточно-Казахстанская область | ОЧС Курчумского района
ochs_vko_6 | OCHS | Восточно-Казахстанская область | ОЧС района Самар
ochs_vko_7 | OCHS | Восточно-Казахстанская область | ОЧС Тарбагатайского района
ochs_vko_8 | OCHS | Восточно-Казахстанская область | ОЧС Уланского района
ochs_vko_9 | OCHS | Восточно-Казахстанская область | ОЧС Шемонаихинского района
ochs_zhambyl_10 | OCHS | Жамбылская область | ОЧС Таласского района
ochs_zhambyl_11 | OCHS | Жамбылская область | ОЧС Шуского района
ochs_zhambyl_2 | OCHS | Жамбылская область | ОЧС Байзакского района
ochs_zhambyl_3 | OCHS | Жамбылская область | ОЧС Жамбылского района
ochs_zhambyl_4 | OCHS | Жамбылская область | ОЧС Жуалынского района
ochs_zhambyl_5 | OCHS | Жамбылская область | ОЧС Кордайского района
ochs_zhambyl_6 | OCHS | Жамбылская область | ОЧС Меркенского района
ochs_zhambyl_7 | OCHS | Жамбылская область | ОЧС Мойынкумского района
ochs_zhambyl_8 | OCHS | Жамбылская область | ОЧС района Турара Рыскулова
ochs_zhambyl_9 | OCHS | Жамбылская область | ОЧС Сарысуского района
ochs_zhetisu_1 | OCHS | Область Жетісу | ОЧС Аксуского района
ochs_zhetisu_10 | OCHS | Область Жетісу | ОЧС Сарканского района
ochs_zhetisu_2 | OCHS | Область Жетісу | ОЧС Алакольского района
ochs_zhetisu_4 | OCHS | Область Жетісу | ОЧС города Текели
ochs_zhetisu_5 | OCHS | Область Жетісу | ОЧС Ескельдинского района
ochs_zhetisu_6 | OCHS | Область Жетісу | ОЧС Каратальского района
ochs_zhetisu_7 | OCHS | Область Жетісу | ОЧС Кербулакского района
ochs_zhetisu_8 | OCHS | Область Жетісу | ОЧС Коксуского района
ochs_zhetisu_9 | OCHS | Область Жетісу | ОЧС Панфиловского района
ochs_zko_10 | OCHS | Западно-Казахстанская область | ОЧС Сырымского района
ochs_zko_11 | OCHS | Западно-Казахстанская область | ОЧС Таскалинского района
ochs_zko_12 | OCHS | Западно-Казахстанская область | ОЧС Теректинского района
ochs_zko_13 | OCHS | Западно-Казахстанская область | ОЧС Чингирлауского района
ochs_zko_2 | OCHS | Западно-Казахстанская область | ОЧС Акжаикского района
ochs_zko_3 | OCHS | Западно-Казахстанская область | ОЧС Бокейординского района
ochs_zko_4 | OCHS | Западно-Казахстанская область | ОЧС Бурлинского района
ochs_zko_5 | OCHS | Западно-Казахстанская область | ОЧС Жангалинского района
ochs_zko_6 | OCHS | Западно-Казахстанская область | ОЧС Жанибекского района
ochs_zko_7 | OCHS | Западно-Казахстанская область | ОЧС Казталовского района
ochs_zko_8 | OCHS | Западно-Казахстанская область | ОЧС Каратобинского района
ochs_zko_9 | OCHS | Западно-Казахстанская область | ОЧС района Байтерек
uchs_abay_1 | OCHS | Область Абай | УЧС города Семей
uchs_akmola_1 | OCHS | Акмолинская область | УЧС города Кокшетау
uchs_akmola_18 | OCHS | Акмолинская область | УЧС города Степногорска
uchs_aktobe_1 | OCHS | Актюбинская область | УЧС города Актобе
uchs_almaty_1 | OCHS | г. Алматы | УЧС Алатауского района
uchs_almaty_2 | OCHS | г. Алматы | УЧС Алмалинского района
uchs_almaty_3 | OCHS | г. Алматы | УЧС Ауэзовского района
uchs_almaty_4 | OCHS | г. Алматы | УЧС Бостандыкского района
uchs_almaty_5 | OCHS | г. Алматы | УЧС Жетысуского района
uchs_almaty_6 | OCHS | г. Алматы | УЧС Медеуского района
uchs_almaty_7 | OCHS | г. Алматы | УЧС Наурызбайского района
uchs_almaty_8 | OCHS | г. Алматы | УЧС Турксибского района
uchs_almaty_obl_11 | OCHS | Алматинская область | УЧС г.Конаев
uchs_astana_1 | OCHS | г. Астана | УЧС района "Алматы"
uchs_astana_2 | OCHS | г. Астана | УЧС района "Байконыр"
uchs_astana_3 | OCHS | г. Астана | УЧС района "Есиль"
uchs_astana_4 | OCHS | г. Астана | УЧС района "Нура"
uchs_astana_5 | OCHS | г. Астана | УЧС района "Сарыарка"
uchs_astana_6 | OCHS | г. Астана | УЧС района "Сарайшык"
uchs_atyrau_1 | OCHS | Атырауская область | УЧС города Атырау
uchs_karaganda_1 | OCHS | Карагандинская область | УЧС города Караганды
uchs_karaganda_13 | OCHS | Карагандинская область | УЧС города Темиртау
uchs_kostanay_1 | OCHS | Костанайская область | УЧС города Костанай
uchs_kostanay_18 | OCHS | Костанайская область | УЧС города Рудный
uchs_kostanay_5 | OCHS | Костанайская область | УЧС города Аркалыка
uchs_kyzylorda_1 | OCHS | Кызылординская область | УЧС города Кызылорды
uchs_mangystau_1 | OCHS | Мангистауская область | УЧС города Актау
uchs_pavlodar_1 | OCHS | Павлодарская область | УЧС города Павлодар
uchs_pavlodar_13 | OCHS | Павлодарская область | УЧС города Экибастуза
uchs_shymkent_1 | OCHS | г. Шымкент | УЧС Абайского района
uchs_shymkent_2 | OCHS | г. Шымкент | УЧС Аль-Фарабийского района
uchs_shymkent_3 | OCHS | г. Шымкент | УЧС Енбекшинского района
uchs_shymkent_4 | OCHS | г. Шымкент | УЧС Туранского района
uchs_shymkent_5 | OCHS | г. Шымкент | УЧС района "Каратау"
uchs_sko_1 | OCHS | Северо-Казахстанская область | УЧС города Петропавловск
uchs_turkestan_1 | OCHS | Туркестанская область | УЧС города Туркестана
uchs_turkestan_12 | OCHS | Туркестанская область | УЧС Сайрамского района
uchs_ulytau_1 | OCHS | Область Ұлытау | УЧС города Жезказгана
uchs_vko_1 | OCHS | Восточно-Казахстанская область | УЧС города Усть-Каменогорска
uchs_vko_10 | OCHS | Восточно-Казахстанская область | УЧС города Риддер
uchs_vko_11 | OCHS | Восточно-Казахстанская область | УЧС района Алтай
uchs_zhambyl_1 | OCHS | Жамбылская область | УЧС города Тараз
uchs_zhetisu_3 | OCHS | Область Жетісу | УЧС города Талдыкоргана
uchs_zko_1 | OCHS | Западно-Казахстанская область | УЧС города Уральска
